filename,center_x,center_y,radius_x,radius_y
2024_02_19_13_40_IMG_4682 LE SEV NPDR WITH DME_frame_1083.jpg,916,954,472,459
2024_02_19_13_40_IMG_4682 LE SEV NPDR WITH DME_frame_2166.jpg,905,967,476,474
2024_02_19_13_40_IMG_4682 LE SEV NPDR WITH DME_frame_3249.jpg,926,963,478,468
2024_02_23_14_03_IMG_4725 LE MOD NPDR_frame_287.jpg,868,1003,436,439
2024_02_23_14_03_IMG_4725 LE MOD NPDR_frame_575.jpg,892,982,437,437
2024_02_23_14_03_IMG_4725 LE MOD NPDR_frame_863.jpg,871,1001,443,443
2024_02_26_15_30_IMG_4731 RE PDR WITH DME_frame_1166.jpg,873,950,529,519
2024_02_26_15_30_IMG_4731 RE PDR WITH DME_frame_2333.jpg,877,952,521,519
2024_02_26_15_30_IMG_4731 RE PDR WITH DME_frame_3500.jpg,864,1014,508,525
2024_02_26_15_33_IMG_4732 LE SEV NPDR_frame_1316.jpg,796,946,520,513
2024_02_26_15_33_IMG_4732 LE SEV NPDR_frame_2633.jpg,781,971,525,518
2024_02_26_15_33_IMG_4732 LE SEV NPDR_frame_3950.jpg,826,958,520,510
2024_03_07_15_21_IMG_4759 RE MILD NPDR_frame_1282.jpg,916,961,423,408
2024_03_07_15_21_IMG_4759 RE MILD NPDR_frame_2564.jpg,920,965,420,418
2024_03_07_15_21_IMG_4759 RE MILD NPDR_frame_3846.jpg,916,961,423,416
2024_03_07_15_24_IMG_4760 LE MOD NPDR_frame_1027.jpg,849,967,414,418
2024_03_07_15_24_IMG_4760 LE MOD NPDR_frame_2054.jpg,849,967,411,418
2024_03_07_15_24_IMG_4760 LE MOD NPDR_frame_3081.jpg,841,969,415,409
2024_03_10_11_45_IMG_4785 LE MOD NPDR WIHT DME_frame_1174.jpg,909,1021,392,391
2024_03_10_11_45_IMG_4785 LE MOD NPDR WIHT DME_frame_2348.jpg,907,1008,401,397
2024_03_10_11_45_IMG_4785 LE MOD NPDR WIHT DME_frame_3522.jpg,901,1006,393,395
2024_03_10_12_25_IMG_4794 LE SEV NPDR_frame_1299.jpg,791,1001,386,386
2024_03_10_12_25_IMG_4794 LE SEV NPDR_frame_433.jpg,781,1010,400,386
2024_03_10_12_25_IMG_4794 LE SEV NPDR_frame_866.jpg,789,1010,403,386
2024_03_19_14_40_IMG_3017 LE MILD NPDR_frame_1449.jpg,907,973,397,396
2024_03_19_14_40_IMG_3017 LE MILD NPDR_frame_483.jpg,943,916,405,416
2024_03_19_14_40_IMG_3017 LE MILD NPDR_frame_966.jpg,918,978,405,397
2024_03_21_12_16_IMG_3042 RE MOD NPDR_frame_1491.jpg,924,1042,510,504
2024_03_21_12_16_IMG_3042 RE MOD NPDR_frame_497.jpg,926,1008,502,515
2024_03_21_12_16_IMG_3042 RE MOD NPDR_frame_994.jpg,881,1042,519,502
2024_03_21_12_30_IMG_3044 RE SEV NPDR WITH CIDME_frame_1275.jpg,954,1016,469,458
2024_03_21_12_30_IMG_3044 RE SEV NPDR WITH CIDME_frame_2551.jpg,948,1006,459,461
2024_03_21_12_30_IMG_3044 RE SEV NPDR WITH CIDME_frame_3827.jpg,963,1033,459,463
2024_03_21_12_33_IMG_3045 LE SEV NPDR WITH DME_frame_1310.jpg,879,1096,470,470
2024_03_21_12_33_IMG_3045 LE SEV NPDR WITH DME_frame_2620.jpg,909,993,482,461
2024_03_21_12_33_IMG_3045 LE SEV NPDR WITH DME_frame_3930.jpg,916,1010,466,452
2024_03_21_12_55_IMG_3048 RE MILD NPDR_frame_1253.jpg,950,1012,508,514
2024_03_21_12_55_IMG_3048 RE MILD NPDR_frame_1880.jpg,918,1023,512,510
2024_03_21_12_55_IMG_3048 RE MILD NPDR_frame_626.jpg,903,991,516,511
2024_03_21_12_57_IMG_3049 LE MILD NPDR_frame_1172.jpg,892,1068,519,515
2024_03_21_12_57_IMG_3049 LE MILD NPDR_frame_1758.jpg,903,1006,508,511
2024_03_21_12_57_IMG_3049 LE MILD NPDR_frame_586.jpg,879,980,502,502
2024_03_21_13_08_IMG_3050 RE MOD NPDR WITH DME_frame_1340.jpg,937,1018,431,437
2024_03_21_13_08_IMG_3050 RE MOD NPDR WITH DME_frame_446.jpg,922,993,429,429
2024_03_21_13_08_IMG_3050 RE MOD NPDR WITH DME_frame_893.jpg,926,1018,431,437
2024_03_21_14_55_IMG_3053 LE SEV NPDR_frame_1795.jpg,847,1014,454,465
2024_03_21_14_55_IMG_3053 LE SEV NPDR_frame_2692.jpg,961,937,461,472
2024_03_21_14_55_IMG_3053 LE SEV NPDR_frame_897.jpg,843,986,465,454
2024_03_25_11_51_IMG_3058 LE SEV NPDR_frame_1061.jpg,875,986,499,510
2024_03_25_11_51_IMG_3058 LE SEV NPDR_frame_2123.jpg,856,980,510,500
2024_03_25_11_51_IMG_3058 LE SEV NPDR_frame_3185.jpg,875,965,486,495
2024_03_25_15_30_IMG_3070 LE MILD NPDR_frame_1460.jpg,961,1046,485,480
2024_03_25_15_30_IMG_3070 LE MILD NPDR_frame_2190.jpg,898,1048,466,475
2024_03_25_15_30_IMG_3070 LE MILD NPDR_frame_730.jpg,888,1048,476,465
2024_03_28_14_08_IMG_4839 RE PDR_frame_1305.jpg,933,1177,514,506
2024_03_28_14_08_IMG_4839 RE PDR_frame_1958.jpg,950,1184,508,504
2024_03_28_14_08_IMG_4839 RE PDR_frame_652.jpg,948,1166,514,508
2024_03_28_14_32_IMG_4842 RE MOD NPDR_frame_1388.jpg,926,1106,437,441
2024_03_28_14_32_IMG_4842 RE MOD NPDR_frame_2082.jpg,907,1111,452,448
2024_03_28_14_32_IMG_4842 RE MOD NPDR_frame_694.jpg,922,1087,450,450
2024_03_30_11_37_IMG_4851 RE MILD NPDR_frame_1082.jpg,952,1006,521,528
2024_03_30_11_37_IMG_4851 RE MILD NPDR_frame_1623.jpg,888,997,523,525
2024_03_30_11_37_IMG_4851 RE MILD NPDR_frame_541.jpg,847,986,544,531
R023L_frame_187.jpg,890,978,444,429
R023L_frame_375.jpg,894,952,444,435
R023L_frame_563.jpg,881,954,431,429
