filename,center_x,center_y,radius_x,radius_y
2024_02_19_13_36_IMG_4681 RE SEV NPDR.MOV-00002.png,597.0,507.0,473.0,492.0
2024_02_19_13_40_IMG_4682 LE SEV NPDR WITH DME.MOV-00001.png,520.0,567.0,476.0,492.0
2024_02_19_13_40_IMG_4682 LE SEV NPDR WITH DME.MOV-00002.png,496.0,561.0,470.0,485.0
2024_02_23_14_03_IMG_4725 LE MOD NPDR.MOV-00001.png,558.0,604.0,444.0,441.0
2024_02_23_14_03_IMG_4725 LE MOD NPDR.MOV-00002.png,551.0,575.0,443.0,434.0
2024_02_26_15_30_IMG_4731 RE PDR WITH DME.MOV-00001.png,648.0,597.0,511.0,513.0
2024_02_26_15_30_IMG_4731 RE PDR WITH DME.MOV-00002.png,660.0,611.0,524.0,519.0
2024_02_26_15_30_IMG_4731 RE PDR WITH DME.MOV-00003.png,535.0,613.0,520.0,529.0
2024_02_26_15_33_IMG_4732 LE SEV NPDR.MOV-00001.png,423.0,628.0,505.0,508.0
2024_02_26_15_33_IMG_4732 LE SEV NPDR.MOV-00002.png,441.0,655.0,525.0,522.0
2024_02_26_15_33_IMG_4732 LE SEV NPDR.MOV-00003.png,639.0,628.0,513.0,533.0
2024_03_07_15_21_IMG_4759 RE MILD NPDR.MOV-00001.png,501.0,555.0,415.0,418.0
2024_03_07_15_21_IMG_4759 RE MILD NPDR.MOV-00002.png,357.0,529.0,433.0,429.0
2024_03_07_15_24_IMG_4760 LE MOD NPDR.MOV-00001.png,418.0,632.0,422.0,427.0
2024_03_07_15_24_IMG_4760 LE MOD NPDR.MOV-00002.png,506.0,663.0,411.0,422.0
2024_03_10_11_45_IMG_4785 LE MOD NPDR WIHT DME.MOV-00001.png,554.0,589.0,409.0,406.0
2024_03_10_11_45_IMG_4785 LE MOD NPDR WIHT DME.MOV-00002.png,541.0,589.0,405.0,397.0
2024_03_10_11_45_IMG_4785 LE MOD NPDR WIHT DME.MOV-00003.png,545.0,571.0,405.0,405.0
2024_03_10_12_25_IMG_4794 LE SEV NPDR.MOV-00001.png,558.0,660.0,403.0,396.0
2024_03_10_12_25_IMG_4794 LE SEV NPDR.MOV-00002.png,547.0,662.0,392.0,392.0
2024_03_19_14_40_IMG_3017 LE MILD NPDR.MOV-00001.png,639.0,514.0,410.0,405.0
2024_03_19_14_40_IMG_3017 LE MILD NPDR.MOV-00002.png,527.0,548.0,413.0,405.0
2024_03_19_14_40_IMG_3017 LE MILD NPDR.MOV-00003.png,524.0,552.0,410.0,409.0
2024_03_21_12_16_IMG_3042 RE MOD NPDR.MOV-00001.png,586.0,558.0,511.0,521.0
2024_03_21_12_16_IMG_3042 RE MOD NPDR.MOV-00002.png,489.0,513.0,514.0,511.0
2024_03_21_12_30_IMG_3044 RE SEV NPDR WITH CIDME.MOV-00001.png,574.0,534.0,471.0,461.0
2024_03_21_12_30_IMG_3044 RE SEV NPDR WITH CIDME.MOV-00002.png,574.0,547.0,465.0,461.0
2024_03_21_12_33_IMG_3045 LE SEV NPDR WITH DME.MOV-00001.png,570.0,558.0,460.0,464.0
2024_03_21_12_33_IMG_3045 LE SEV NPDR WITH DME.MOV-00002.png,577.0,561.0,469.0,468.0
2024_03_21_12_55_IMG_3048 RE MILD NPDR.MOV-00001.png,580.0,545.0,510.0,515.0
2024_03_21_12_55_IMG_3048 RE MILD NPDR.MOV-00002.png,557.0,540.0,511.0,521.0
2024_03_21_12_57_IMG_3049 LE MILD NPDR.MOV-00001.png,573.0,573.0,520.0,509.0
2024_03_21_12_57_IMG_3049 LE MILD NPDR.MOV-00002.png,268.0,589.0,510.0,511.0
2024_03_21_13_08_IMG_3050 RE MOD NPDR WITH DME.MOV-00001.png,504.0,528.0,437.0,441.0
2024_03_21_13_08_IMG_3050 RE MOD NPDR WITH DME.MOV-00002.png,510.0,513.0,435.0,438.0
2024_03_21_13_08_IMG_3050 RE MOD NPDR WITH DME.MOV-00003.png,507.0,516.0,441.0,429.0
2024_03_21_14_55_IMG_3053 LE SEV NPDR.MOV-00001.png,577.0,633.0,456.0,454.0
2024_03_21_14_55_IMG_3053 LE SEV NPDR.MOV-00002.png,545.0,634.0,459.0,463.0
2024_03_25_11_51_IMG_3058 LE SEV NPDR.MOV-00001.png,646.0,496.0,509.0,493.0
2024_03_25_11_51_IMG_3058 LE SEV NPDR.MOV-00002.png,648.0,582.0,524.0,490.0
2024_03_25_15_30_IMG_3070 LE MILD NPDR.MOV-00001.png,612.0,594.0,465.0,474.0
2024_03_25_15_30_IMG_3070 LE MILD NPDR.MOV-00002.png,607.0,592.0,476.0,475.0
2024_03_28_14_08_IMG_4839 RE PDR.MOV-00001.png,732.0,547.0,504.0,504.0
2024_03_28_14_08_IMG_4839 RE PDR.MOV-00002.png,871.0,533.0,511.0,506.0
2024_03_28_14_32_IMG_4842 RE MOD NPDR.MOV-00001.png,662.0,558.0,455.0,443.0
2024_03_28_14_32_IMG_4842 RE MOD NPDR.MOV-00002.png,673.0,550.0,456.0,442.0
2024_03_30_11_37_IMG_4851 RE MILD NPDR.MOV-00001.png,537.0,542.0,531.0,529.0
2024_03_30_11_37_IMG_4851 RE MILD NPDR.MOV-00002.png,567.0,570.0,534.0,537.0
2024_03_30_12_19_IMG_4854 LE PDR.MOV-00001.png,687.0,627.0,547.0,538.0
2024_03_30_12_19_IMG_4854 LE PDR.MOV-00002.png,522.0,626.0,538.0,544.0
2024_04_01_11_52_IMG_4866 RE MOD NPDR LASERED.MOV-00001.png,633.0,581.0,416.0,415.0
2024_04_01_11_52_IMG_4866 RE MOD NPDR LASERED.MOV-00002.png,645.0,524.0,422.0,410.0
2024_04_01_12_12_IMG_4868 RE SEV NPDR WITH CIDME.MOV-00001.png,208.0,556.0,568.0,564.0
2024_04_01_12_12_IMG_4868 RE SEV NPDR WITH CIDME.MOV-00002.png,494.0,598.0,555.0,559.0
2024_04_01_12_12_IMG_4868 RE SEV NPDR WITH CIDME.MOV-00003.png,495.0,578.0,562.0,548.0
2024_04_01_12_16_IMG_4869 SEV NPDR WITH DME.MOV-00001.png,504.0,617.0,560.0,547.0
2024_04_01_12_16_IMG_4869 SEV NPDR WITH DME.MOV-00002.png,252.0,580.0,556.0,558.0
2024_04_01_12_16_IMG_4869 SEV NPDR WITH DME.MOV-00003.png,516.0,629.0,551.0,558.0
2024_04_01_12_56_IMG_4872 RE MOD NPDR WITH FVD.MOV-00001.png,618.0,460.0,501.0,496.0
2024_04_01_12_56_IMG_4872 RE MOD NPDR WITH FVD.MOV-00002.png,462.0,464.0,498.0,479.0
2024_04_01_12_59_IMG_4873 LE MOD NPDR.MOV-00001.png,415.0,517.0,510.0,468.0
2024_04_01_12_59_IMG_4873 LE MOD NPDR.MOV-00002.png,518.0,628.0,507.0,486.0
2024_04_02_11_54_IMG_4881 LE MOD NPDR.MOV-00001.png,606.0,527.0,437.0,443.0
2024_04_02_11_54_IMG_4881 LE MOD NPDR.MOV-00002.png,482.0,508.0,440.0,434.0
2024_04_02_12_48_IMG_4883 RE SEV NPDR WITH DME.MOV-00001.png,591.0,496.0,484.0,479.0
2024_04_02_12_48_IMG_4883 RE SEV NPDR WITH DME.MOV-00002.png,583.0,502.0,474.0,479.0
2024_04_03_11_51_IMG_4888 RE MOD NPDR.MOV-00001.png,543.0,646.0,499.0,498.0
2024_04_03_11_51_IMG_4888 RE MOD NPDR.MOV-00002.png,522.0,616.0,493.0,498.0
2024_04_03_11_53_IMG_4889 LE MOD NPDR.MOV-00001.png,520.0,672.0,499.0,489.0
2024_04_03_11_53_IMG_4889 LE MOD NPDR.MOV-00002.png,524.0,691.0,492.0,497.0
2024_04_04_11_36_IMG_4896 RE SEV NPDR.MOV-00001.png,202.0,412.0,498.0,484.0
2024_04_04_11_36_IMG_4896 RE SEV NPDR.MOV-00002.png,548.0,484.0,492.0,483.0
2024_04_04_11_38_IMG_4897 LE SEV NPDR.MOV-00001.png,449.0,429.0,501.0,490.0
2024_04_04_11_38_IMG_4897 LE SEV NPDR.MOV-00002.png,689.0,422.0,481.0,480.0
2024_04_04_11_38_IMG_4897 LE SEV NPDR.MOV-00003.png,559.0,556.0,490.0,488.0
2024_04_04_13_08_IMG_4898 RE MOD NPDR.MOV-00001.png,738.0,505.0,587.0,553.0
2024_04_04_13_08_IMG_4898 RE MOD NPDR.MOV-00002.png,708.0,484.0,563.0,557.0
2024_04_04_13_10_IMG_4899 LE MILD NPDR.MOV-00001.png,528.0,578.0,577.0,556.0
2024_04_04_13_10_IMG_4899 LE MILD NPDR.MOV-00002.png,616.0,548.0,558.0,552.0
2024_04_04_14_40_IMG_4905 RE MILD NPDR.MOV-00001.png,754.0,480.0,499.0,527.0
2024_04_04_14_40_IMG_4905 RE MILD NPDR.MOV-00002.png,668.0,463.0,537.0,515.0
2024_04_05_10_57_IMG_4922 RE PDR WITH FVP.MOV-00001.png,652.0,351.0,566.0,557.0
2024_04_05_10_57_IMG_4922 RE PDR WITH FVP.MOV-00002.png,664.0,499.0,511.0,521.0
2024_04_05_10_58_IMG_4923 LE SEV NPDR.MOV-00001.png,622.0,544.0,562.0,530.0
2024_04_05_10_58_IMG_4923 LE SEV NPDR.MOV-00002.png,680.0,488.0,537.0,527.0
2024_04_05_11_13_IMG_4924 LE HEALTHY.MOV-00001.png,614.0,391.0,532.0,537.0
2024_04_05_11_13_IMG_4924 LE HEALTHY.MOV-00002.png,574.0,545.0,564.0,558.0
2024_04_05_13_16_IMG_4931 RE SEV NPDR.MOV-00001.png,232.0,434.0,514.0,495.0
2024_04_05_13_16_IMG_4931 RE SEV NPDR.MOV-00002.png,560.0,432.0,511.0,485.0
2024_04_05_13_18_IMG_4932 LE SEV NPDR.MOV-00001.png,299.0,547.0,482.0,490.0
2024_04_05_13_18_IMG_4932 LE SEV NPDR.MOV-00002.png,579.0,532.0,496.0,492.0
2024_04_05_13_18_IMG_4932 LE SEV NPDR.MOV-00003.png,576.0,540.0,490.0,484.0
2024_04_06_11_17_IMG_4941 RE SEV NPDR.MOV-00001.png,739.0,490.0,552.0,555.0
2024_04_06_11_17_IMG_4941 RE SEV NPDR.MOV-00002.png,285.0,414.0,426.0,510.0
2024_04_06_11_18_IMG_4942 LE PDR WITH DME.MOV-00001.png,635.0,589.0,557.0,572.0
2024_04_06_11_18_IMG_4942 LE PDR WITH DME.MOV-00002.png,467.0,490.0,548.0,537.0
2024_04_06_11_48_IMG_4944 RE MOD NPDR.MOV-00001.png,146.0,270.0,479.0,486.0
2024_04_06_11_48_IMG_4944 RE MOD NPDR.MOV-00002.png,472.0,479.0,475.0,473.0
2024_04_11_13_32_IMG_4947 RE MOD NPDR.MOV-00001.png,534.0,613.0,459.0,454.0
2024_04_11_13_32_IMG_4947 RE MOD NPDR.MOV-00002.png,675.0,499.0,451.0,453.0
2024_04_11_13_34_IMG_4948 LE MOD NPDR.MOV-00001.png,274.0,480.0,434.0,445.0
2024_04_11_13_34_IMG_4948 LE MOD NPDR.MOV-00002.png,199.0,451.0,456.0,445.0
2024_04_11_15_09_IMG_4952 LE HEALTHY.MOV-00001.png,283.0,625.0,450.0,458.0
2024_04_11_15_09_IMG_4952 LE HEALTHY.MOV-00002.png,582.0,403.0,442.0,438.0
2024_04_11_15_12_IMG_4953 RE HEALTHY.MOV-00001.png,407.0,412.0,460.0,442.0
2024_04_11_15_12_IMG_4953 RE HEALTHY.MOV-00002.png,399.0,411.0,468.0,449.0
2024_04_11_15_21_IMG_4954 RE SEV NPDR.MOV-00001.png,399.0,552.0,482.0,467.0
2024_04_11_15_21_IMG_4954 RE SEV NPDR.MOV-00002.png,438.0,452.0,485.0,480.0
2024_04_11_15_23_IMG_4955 LE PDR.MOV-00001.png,310.0,626.0,496.0,483.0
2024_04_11_15_23_IMG_4955 LE PDR.MOV-00002.png,351.0,643.0,489.0,522.0
2024_04_11_15_27_IMG_4956 RE MILD NPDR.MOV-00001.png,144.0,494.0,470.0,465.0
2024_04_11_15_27_IMG_4956 RE MILD NPDR.MOV-00002.png,138.0,425.0,482.0,462.0
2024_04_12_11_22_IMG_4958 RE MOD NPDR.MOV-00001.png,135.0,367.0,415.0,423.0
2024_04_12_11_22_IMG_4958 RE MOD NPDR.MOV-00002.png,210.0,520.0,426.0,414.0
2024_04_12_11_24_IMG_4959 LE MOD NPDR.MOV-00001.png,118.0,421.0,429.0,423.0
2024_04_12_11_24_IMG_4959 LE MOD NPDR.MOV-00002.png,217.0,551.0,437.0,423.0
2024_04_12_11_40_IMG_4960 RE HEALTHY.MOV-00001.png,427.0,574.0,588.0,564.0
2024_04_12_11_40_IMG_4960 RE HEALTHY.MOV-00002.png,565.0,552.0,610.0,598.0
2024_04_12_13_02_IMG_4967 LE PDR OIL PLACED.MOV-00001.png,269.0,491.0,473.0,486.0
2024_04_12_13_02_IMG_4967 LE PDR OIL PLACED.MOV-00002.png,357.0,547.0,480.0,480.0
2024_04_12_13_10_IMG_4968 LE SCAR+.MOV-00001.png,656.0,421.0,418.0,413.0
2024_04_12_13_10_IMG_4968 LE SCAR+.MOV-00002.png,395.0,499.0,409.0,415.0
2024_04_12_13_22_IMG_4969 RE HEALTHY.MOV-00001.png,385.0,474.0,524.0,520.0
2024_04_12_13_22_IMG_4969 RE HEALTHY.MOV-00002.png,88.0,595.0,515.0,522.0
2024_04_12_13_24_IMG_4970 LE HEALTHY.MOV-00001.png,650,442,488,490
2024_04_12_13_24_IMG_4970 LE HEALTHY.MOV-00002.png,594,594,523,513
2024_04_30_11_53_IMG_5009 RE HEALTHY.MOV-00001.png,767,312,606,550
2024_04_30_11_53_IMG_5009 RE HEALTHY.MOV-00002.png,498,394,543,539
2024_04_30_11_56_IMG_5010 LE HEALTHY.MOV-00001.png,642,403,529,554
2024_04_30_11_56_IMG_5010 LE HEALTHY.MOV-00002.png,658,277,540,529
2024_04_30_12_16_IMG_5012 RE HEALTHY.MOV-00001.png,185,451,676,665
2024_04_30_12_16_IMG_5012 RE HEALTHY.MOV-00002.png,448,375,647,656
2024_04_30_12_19_IMG_5013 LE HEALTHY.MOV-00001.png,420,488,662,629
2024_04_30_12_19_IMG_5013 LE HEALTHY.MOV-00002.png,597,365,605,589
2024_04_30_12_44_IMG_5014 RE SEV NPDR.MOV-00001.png,706,437,606,569
2024_04_30_12_44_IMG_5014 RE SEV NPDR.MOV-00002.png,578,384,540,545
2024_04_30_12_48_IMG_5016 SEV NPDR.MOV-00001.png,726,473,555,548
2024_04_30_12_48_IMG_5016 SEV NPDR.MOV-00002.png,561,448,491,511
2024_05_06_12_30_IMG_3269 RE Healthy.MOV-00001.png,427,458,571,527
2024_05_06_12_30_IMG_3269 RE Healthy.MOV-00002.png,115,376,545,543
2024_05_06_12_31_IMG_3270 LE HEALTHY.MOV-00001.png,693,450,520,539
2024_05_06_12_31_IMG_3270 LE HEALTHY.MOV-00002.png,187,554,532,525
2024_05_06_12_38_IMG_3271 RE MILD NPDR.MOV-00001.png,469,504,563,551
2024_05_06_12_38_IMG_3271 RE MILD NPDR.MOV-00002.png,627,549,557,557
2024_05_06_12_40_IMG_3272 LE MOD NPDR.MOV-00001.png,574,636,561,576
2024_05_06_12_40_IMG_3272 LE MOD NPDR.MOV-00002.png,679,507,581,568
2024_05_06_14_02_IMG_3273 RE PDR.MOV-00001.png,621,360,488,507
2024_05_06_14_02_IMG_3273 RE PDR.MOV-00002.png,713,438,557,553
2024_05_06_14_05_IMG_3274 LE PDR WITH FVP.MOV-00001.png,697,495,547,534
2024_05_06_14_05_IMG_3274 LE PDR WITH FVP.MOV-00002.png,676,515,533,512
"2024_05_07_12_33_IMG_5029 RE PDR, TRD.MOV-00001.png",156,446,537,568
"2024_05_07_12_33_IMG_5029 RE PDR, TRD.MOV-00002.png",263,463,691,608
2024_05_07_12_35_IMG_5030 LE PDR TRD.MOV-00001.png,451,536,556,540
2024_05_07_12_35_IMG_5030 LE PDR TRD.MOV-00002.png,530,612,605,591
2024_05_07_12_43_IMG_5031 RE HEALTHY.MOV-00001.png,367,500,594,555
R023L.MOV-00001.png,584.0,421.0,455.0,430.0
